Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Sandstone Sculptures (General Collection),Bangladesh National Museum,Sculpture,Sandstone,Gupta–Pala Period,"Various sites, Bengal",Sculpture Gallery 1 & 2,,,"Collection of sandstone sculptures including Hindu and Buddhist deities, architectural figures, and decorative pieces from the Gupta and Pala periods of Bengal.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Architectural Specimens (Temple / Mosque Fragments),Bangladesh National Museum,Architectural Fragment,Stone / Brick / Terracotta,Medieval Period (8th–17th Century AD),"Various sites, Bengal / Bangladesh",Architecture Gallery,,,"Fascinating ancient architectural specimens including stone carvings, brick motifs, and terracotta architectural decorations from temples, mosques, and monasteries of medieval Bengal.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Ivory Mat (Hand-crafted),Bangladesh National Museum,Decorative Art,Ivory,Medieval to Early Modern Period,Bengal,Ivory Works Gallery,,,"An extraordinary and rare mat made entirely from ivory, showcasing the remarkable craftsmanship of Bengali artisans. One of the most unique objects in the museum's collection.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
Muslin of Dhaka (Jamdani / Dhaka Muslin),Bangladesh National Museum,Textile,Cotton (ultra-fine),Mughal to Colonial Period (16th–19th Century AD),"Dhaka Region (Sonargaon / Dhamrai), Bangladesh",Textiles and Costumes Gallery,,,"Legendary Dhaka Muslin, often described as 'woven air', representing one of the finest textiles ever produced by human hands. Dhaka muslin was globally renowned during the Mughal era for its extraordinary fineness. The Jamdani weaving tradition is now a UNESCO-recognized Intangible Cultural Heritage.",,http://offroadbangladesh.com/places/bangladesh-national-museum/
Nakshi Kantha (Embroidered Quilt) Collection,Bangladesh National Museum,Textile / Folk Art,"Cotton, Thread (embroidered)",19th–20th Century,Rural Bangladesh (various districts),Embroidered Quilts Gallery,,,"Collection of Nakshi Kantha, traditional embroidered quilts hand-stitched by rural Bengali women, depicting scenes from rural life, folklore, and religious motifs. Each piece is a unique narrative woven into fabric, representing a vibrant tradition of Bangladeshi folk art.",,https://www.wonderfulmuseums.com/museum/bangladesh-national-museum-dhaka/
Wood Carvings Collection,Bangladesh National Museum,Decorative Art,Wood,Medieval to Modern Period,"Various regions, Bangladesh / Bengal",Wood Carvings Gallery 1 & 2,,,"Extensive collection of intricately carved wooden objects including furniture, architectural panels, household items, and decorative pieces representing the woodworking tradition of Bangladesh and Bengal.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
"Metalwork Collection (Brass, Bronze, Silver)",Bangladesh National Museum,Decorative Art,Brass / Bronze / Silver / Copper,Various periods (Medieval to Modern),"Various regions, Bangladesh",Metal Works Gallery,,,"Collection of decorative metalwork including household utensils, religious objects, decorative vessels, and ornamental pieces made from brass, bronze, silver, and copper, representing Bengal's rich metalworking tradition.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Porcelain and Glassware Collection,Bangladesh National Museum,Decorative Art,Porcelain / Glass,Medieval to Colonial Period,Bangladesh and trade routes,Porcelain and Glassware Gallery,,,"Collection of porcelain and glassware including Chinese export porcelain, local pottery, and decorative glass objects that were traded and used in Bengal during medieval and colonial times.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Ivory Works Collection,Bangladesh National Museum,Decorative Art,Ivory,Medieval to Early Modern Period,Bengal / Bangladesh,Ivory Works Gallery,,,"Collection of intricate ivory carvings including decorative objects, combs, figurines, and household items, showcasing the exceptional skill of Bengali ivory craftsmen. Also includes objects from royal households.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Traditional Musical Instruments,Bangladesh National Museum,Ethnographic Object,Wood / Metal / Skin,Various (19th–20th Century),"Various regions, Bangladesh",Musical Instruments Gallery,,,"Collection of traditional Bangladeshi and Bengali musical instruments including string, wind, and percussion instruments representing the folk and classical musical traditions of Bangladesh. Includes instruments of various ethnic groups.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Dolls Collection (Traditional),Bangladesh National Museum,Folk Art / Toy,Clay / Fabric / Wood,19th–20th Century,"Various regions, Bangladesh",Dolls Gallery,,,"Collection of traditional handmade dolls and figurines from different regions of Bangladesh, representing folk craft traditions and child culture of rural Bengali society.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Textiles and Costumes Collection,Bangladesh National Museum,Textile / Costume,Fabric (Cotton / Silk),19th–20th Century,"Various regions, Bangladesh",Textiles and Costumes Gallery,,,"Collection of traditional textiles and costumes from various regions of Bangladesh, including handwoven fabrics, tribal costumes, ceremonial dress, and everyday attire of different ethnic communities.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Tribal Artifacts – Tribes of Bangladesh,Bangladesh National Museum,Ethnographic Object,"Various (wood, metal, fabric)",19th–20th Century,"Chittagong Hill Tracts and other regions, Bangladesh",Tribes of Bangladesh Gallery 1 & 2,,,"Extensive collection of ethnographic objects from various indigenous ethnic groups of Bangladesh (Chakma, Marma, Tripura, Garo, Santal, etc.) including household tools, ceremonial objects, traditional weapons, housing models, and cultural items.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Boats of Bangladesh (Miniature Models),Bangladesh National Museum,Ethnographic Object / Model,Wood,19th–20th Century,"Various river regions, Bangladesh",Boats of Bangladesh Gallery,,,"Collection of miniature and model traditional boats representing the diverse boat-building heritage of Bangladesh, a riverine delta nation. Includes various types of sailing and rowing boats that have largely vanished from modern use.",,http://offroadbangladesh.com/places/bangladesh-national-museum/
Household Objects and Daily Life Exhibits,Bangladesh National Museum,Ethnographic Object,"Various (clay, wood, metal)",19th–20th Century,"Various regions, Bangladesh",Life in Bangladesh Gallery,,,"Collection of everyday household objects representing rural and urban domestic life in Bangladesh, including cooking utensils, farming tools, fishing implements, and household furniture of different socioeconomic groups.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Arms and Weapons of Ethnic Groups,Bangladesh National Museum,Weapon / Ethnographic Object,Metal / Bamboo / Wood,19th–20th Century,Chittagong Hill Tracts and other regions,Arms and Weapons Gallery,,,"Traditional weapons and arms used by various ethnic communities of Bangladesh for hunting, defense, and ceremonial purposes, including bows, arrows, spears, dao (machetes), and traditional firearms.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Customs and Ceremonies Objects,Bangladesh National Museum,Ethnographic Object,Various,19th–20th Century,Bangladesh (various ethnic regions),Tribes of Bangladesh Gallery,,,"Objects used in customs, ceremonies, and rituals of different ethnic communities of Bangladesh, representing the diverse ceremonial traditions and belief systems of the nation's indigenous peoples.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Jewellery Collection,Bangladesh National Museum,Jewellery / Ornament,Gold / Silver / Bronze / Ivory,Medieval to Modern Period,"Various regions, Bangladesh","Textiles, Costumes and Ornaments Gallery",,,"Collection of traditional jewellery and ornaments from various regions and communities of Bangladesh, including gold, silver, and bronze ornaments representing different socioeconomic backgrounds and ethnic traditions.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Famine Sketches of 1943 by Zainul Abedin,Bangladesh National Museum,Painting / Sketch,"Paper, Charcoal / Ink",1943 AD,"Dhaka, Bengal (British India)",Shilpacharya Zainul Abedin Gallery,,,"The landmark sketches depicting the devastating Bengal Famine of 1943 by Shilpacharya Zainul Abedin, one of the most significant artworks in the museum. These sketches bear testimony to the miserable condition of people suffering from starvation and are considered national treasures.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Paintings by Potua Quamrul Hassan,Bangladesh National Museum,Painting,"Canvas / Paper, Oil / Watercolor",20th Century (1921–1988),"Dhaka, Bangladesh",Contemporary Art Gallery 1,,,"Famous contemporary paintings by Potua Quamrul Hassan, a pioneering Bangladeshi painter and graphic designer known for his distinctive folk-inspired style and political artwork, including anti-Pakistani army posters during the 1971 Liberation War.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Paintings by SM Sultan,Bangladesh National Museum,Painting,"Canvas, Oil",20th Century (1923–1994),"Narail / Dhaka, Bangladesh",Contemporary Art Gallery 1 & 2,,,"Celebrated paintings by SM Sultan (Sheikh Muhammad Sultan), renowned Bangladeshi painter known for his monumental depictions of rural Bengal, its laborers, and river life, often featuring muscular peasants as central figures.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
European Art Reproductions (Renaissance to Modern),Bangladesh National Museum,Painting (Reproduction / Original),Canvas / Paper,15th–20th Century,Europe,World Art Gallery 1 & 2,,,"Collection of famous European artworks from the Renaissance to the Modern period, including reproductions of masterpieces from major European art galleries, providing visitors with a window into global art history.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Portraits of World Personalities,Bangladesh National Museum,Portrait / Photograph,Canvas / Paper / Photo,19th–20th Century,International,Portraits of World Personalities Gallery,,,"Large collection of portraits of internationally renowned politicians, artists, scientists, and historical figures from around the world, displayed on the third floor of the museum.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Portraits of National Heroes of Bangladesh,Bangladesh National Museum,Portrait / Photograph,Canvas / Paper / Photo,19th–20th Century,Bangladesh,Eternal Bangladesh / National Heroes Gallery,,,"Collection of portraits and photographs of Bangladeshi national heroes, freedom fighters, and martyred intellectuals representing those who shaped the nation's history and independence.",,https://en.banglapedia.org/index.php/Bangladesh_National_Museum
Bangabhaban Collection (Local and Foreign Objects),Bangladesh National Museum,Decorative Art / Artifact,Various,Modern Era (20th Century),"Dhaka, Bangladesh",Special Collections / World Civilization Gallery,,,"Various local and foreign objects collected from Bangabhaban (the Presidential Palace), including gifts received from foreign dignitaries and state objects of historical and diplomatic significance.",,https://en.advisor.travel/poi/Bangladesh-National-Museum-8712
